Replace Part 3225-8MHz Crystal-3225 in H:\Suprise\Circuit\Suprise\Objects\Suprise.SchDoc with Crystal-3225 from Crystal-3225.SchLib
Replace Part C1 CAP0402 in H:\Suprise\Circuit\Suprise\Objects\Suprise.SchDoc with CAP0402 from CAP0402.SchLib
Replace Part C2 CAP0402 in H:\Suprise\Circuit\Suprise\Objects\Suprise.SchDoc with CAP0402 from CAP0402.SchLib
Replace Part C3 CAP0402 in H:\Suprise\Circuit\Suprise\Objects\Suprise.SchDoc with CAP0402 from CAP0402.SchLib
Replace Part C4 CAP0402 in H:\Suprise\Circuit\Suprise\Objects\Suprise.SchDoc with CAP0402 from CAP0402.SchLib
Replace Part C5 CAP0402 in H:\Suprise\Circuit\Suprise\Objects\Suprise.SchDoc with CAP0402 from CAP0402.SchLib
Replace Part C6 CAP0402 in H:\Suprise\Circuit\Suprise\Objects\Suprise.SchDoc with CAP0402 from CAP0402.SchLib
Replace Part C7 CAP0402 in H:\Suprise\Circuit\Suprise\Objects\Suprise.SchDoc with CAP0402 from CAP0402.SchLib
Replace Part C8 CAP0402 in H:\Suprise\Circuit\Suprise\Objects\Suprise.SchDoc with CAP0402 from CAP0402.SchLib
Replace Part C9 CAP0402 in H:\Suprise\Circuit\Suprise\Objects\Suprise.SchDoc with CAP0402 from CAP0402.SchLib
Replace Part IP5306 IP5306 in H:\Suprise\Circuit\Suprise\Objects\Suprise.SchDoc with IP5306 from IP5306.SchLib
Replace Part L0530 IND0530 in H:\Suprise\Circuit\Suprise\Objects\Suprise.SchDoc with IND0530 from IND0530.SchLib
Replace Part LED1 LED0603 in H:\Suprise\Circuit\Suprise\Objects\Suprise.SchDoc with LED0603 from LED0603.SchLib
Replace Part LED2 LED0603 in H:\Suprise\Circuit\Suprise\Objects\Suprise.SchDoc with LED0603 from LED0603.SchLib
Replace Part LED3 LED0603 in H:\Suprise\Circuit\Suprise\Objects\Suprise.SchDoc with LED0603 from LED0603.SchLib
Replace Part LED4 LED0603 in H:\Suprise\Circuit\Suprise\Objects\Suprise.SchDoc with LED0603 from LED0603.SchLib
Replace Part R1 RES0402 in H:\Suprise\Circuit\Suprise\Objects\Suprise.SchDoc with RES0402 from RES0402.SchLib
Replace Part R2 RES0402 in H:\Suprise\Circuit\Suprise\Objects\Suprise.SchDoc with RES0402 from RES0402.SchLib
Replace Part R3 RES0402 in H:\Suprise\Circuit\Suprise\Objects\Suprise.SchDoc with RES0402 from RES0402.SchLib
Replace Part R4 RES0603 in H:\Suprise\Circuit\Suprise\Objects\Suprise.SchDoc with RES0603 from RES0603.SchLib
Replace Part STM32F030F4P6 STM32F030F4P6 in H:\Suprise\Circuit\Suprise\Objects\Suprise.SchDoc with STM32F030F4P6 from STM32F030F4P6.SchLib
Replace Part Type-C Type-C-IN-16Pin in H:\Suprise\Circuit\Suprise\Objects\Suprise.SchDoc with Type-C-IN-16Pin from Type-C-IN-16Pin.SchLib
